mpcs001 10 22.49 11.377 11.113 1.1113 0.963
mpcs002 10 22.49 11.973 10.517 1.0517 1.017
mpcs003 10 22.49 8.496 13.994 1.3994 1.109
mpcs004 11 23.365 9.449 13.916 1.26509090909 1.01272727273
mpcs005 10 22.49 12.076 10.414 1.0414 1.09
mpcs006 10 22.49 11.974 10.516 1.0516 1.033
mpcs007 10 22.49 8.141 14.349 1.4349 1.063
mpcs008 7 18.095 9.28 8.815 1.25928571429 1.02142857143
mpcs009 5 15.165 10.957 4.208 0.8416 1.066
mpcs010 5 15.165 10.102 5.063 1.0126 1.106
mpcs011 5 15.165 9.487 5.678 1.1356 1.176
mpcs012 5 15.165 8.17 6.995 1.399 1.306
mpcs013 5 15.165 8.14 7.025 1.405 1.024
mpcs014 5 15.165 10.39 4.775 0.955 1.026
mpcs015 5 15.165 11.184 3.981 0.7962 1.0
mpcs016 5 15.751 7.146 8.605 1.721 1.172
mpcs017 7 22.197 11.159 11.038 1.57685714286 0.884285714286
mpcs018 7 22.197 8.39 13.807 1.97242857143 0.921428571429
mpcs019 7 22.197 10.522 11.675 1.66785714286 1.10285714286
mpcs020 7 22.197 8.578 13.619 1.94557142857 0.88
mpcs021 7 22.197 10.397 11.8 1.68571428571 0.887142857143
mpcs022 7 22.197 8.892 13.305 1.90071428571 0.881428571429
mpcs023 7 22.197 11.234 10.963 1.56614285714 1.00571428571
mpcs024 6 18.681 8.659 10.022 1.67033333333 0.926666666667
mpcs025 5 15.165 10.328 4.837 0.9674 1.104
mpcs026 5 15.165 11.164 4.001 0.8002 1.0
mpcs027 5 15.165 11.041 4.124 0.8248 1.406
mpcs028 5 15.165 10.117 5.048 1.0096 1.028
mpcs029 5 15.165 10.309 4.856 0.9712 1.056
mpcs030 5 15.165 9.493 5.672 1.1344 1.046
mpcs031 5 15.165 10.374 4.791 0.9582 1.096
mpcs032 5 15.165 7.799 7.366 1.4732 1.242
mpcs033 5 15.165 9.341 5.824 1.1648 1.266
mpcs034 5 15.165 10.213 4.952 0.9904 1.146
mpcs035 4 12.236 9.02 3.216 0.804 1.24
mpcs036 12 20.439 0.756727 19.682273 1.64018941667 1.0
mpcs037 5 15.165 11.266 3.899 0.7798 1.036
mpcs038 5 15.165 9.495 5.67 1.134 1.068
mpcs039 5 15.165 11.149 4.016 0.8032 1.126
mpcs040 5 15.165 9.004 6.161 1.2322 0.996
mpcs041 5 15.165 10.388 4.777 0.9554 1.1
mpcs042 5 15.165 7.563 7.602 1.5204 1.044
mpcs043 5 15.165 11.243 3.922 0.7844 1.238
mpcs044 5 15.165 11.165 4.0 0.8 1.0
mpcs045 12 20.439 14.65 5.789 0.482416666667 1.0
mpcs046 5 15.165 9.529 5.636 1.1272 1.118
mpcs047 5 15.165 10.395 4.77 0.954 1.326
mpcs048 5 15.165 10.372 4.793 0.9586 1.152
mpcs049 5 15.165 7.747 7.418 1.4836 1.002
mpcs050 5 15.165 11.25 3.915 0.783 1.056
mpcs051 5 15.165 9.528 5.637 1.1274 1.062
mpcs052 5 15.165 10.413 4.752 0.9504 1.084
