mpcb001 12 31.579 23.123 8.456 0.704666666667
mpcb002 12 33.434 23.162 10.272 0.856
mpcb003 9 30.602 17.775 12.827 1.42522222222
mpcb004 12 45.641 6.126 39.515 3.29291666667
mpcb005 2 12.829 4.32 8.509 4.2545
mpcb006 9 43.298 7.475 35.823 3.98033333333
mpcb007 12 45.641 6.875 38.766 3.2305
mpcb008 1 6.969 4.733 2.236 2.236
mpcb009 3 18.688 12.23 6.458 2.15266666667
mpcb011 12 45.641 7.472 38.169 3.18075
mpcb012 12 45.641 5.902 39.739 3.31158333333
mpcb013 12 45.641 3.351 42.29 3.52416666667
mpcb014 12 40.954 3.241 37.713 3.14275
mpcb015 3 15.172 2.606 12.566 4.18866666667
mpcb002 1 5.505 3.654 1.851 1.851
mpcb004 12 45.641 6.128 39.513 3.29275
mpcb006 9 43.298 7.477 35.821 3.98011111111
mpcb007 12 45.641 6.878 38.763 3.23025
mpcb011 12 45.641 7.475 38.166 3.1805
mpcb012 12 45.641 5.907 39.734 3.31116666667
mpcb013 12 45.641 3.354 42.287 3.52391666667
mpcb014 12 40.954 3.24 37.714 3.14283333333
mpcb015 3 15.172 2.606 12.566 4.18866666667
